Study,Subject,Mcf_pR,Condition,my_thresholds,prob,Level,my_thresholds_real,max_strength,jnd_anti_log,jnd_weighted_threshold,adj_stim_val,adjusted_status,shifted_threshold,max_shifted_strength
4,3,0.930155587457137,Delay,4.39330597420765+0i,0.25,1,4.39330597420765,0.2535,79.907455290083,0.20256,0.20256,0,0.20256,0.2535
4,3,0.930155587457137,Delay,4.52432478743121+0i,0.5,2,4.52432478743121,0.2535,91.2336274941664,0.23127,0.23127,0,0.23127,0.2535
4,3,0.930155587457137,Delay,4.65534453753453+0i,0.75,3,4.65534453753453,0.2535,104.145440309684,0.264,0.24238,1,0.24238,0.2535
4,3,0.930155587457137,Delay,4.87548553202024+0i,0.95,4,4.87548553202024,0.2535,130.037760796536,0.32964,0.2535,1,0.2535,0.2535
4,3,0.484977764040702,Fast,3.99324102905477+0i,0.25,1,3.99324102905477,0.36992,53.2303670408258,0.1969,0.1969,0,1.1969,1.36992
4,3,0.484977764040702,Fast,4.20610817139857+0i,0.5,2,4.20610817139857,0.36992,66.0949091430754,0.24449,0.24449,0,1.24449,1.36992
4,3,0.484977764040702,Fast,4.41897531751973+0i,0.75,3,4.41897531751973,0.36992,82.0111816601422,0.30337,0.30337,0,1.30337,1.36992
4,3,0.484977764040702,Fast,4.77662279812795+0i,0.95,4,4.77662279812795,0.36992,117.70278906878,0.4354,0.36992,1,1.36992,1.36992
4,3,0.764899046243936,Grow,3.44490244011113+0i,0.25,1,3.44490244011113,0.05294,30.3402257485763,0.01606,0.01606,0,0.01606,0.05294
4,3,0.764899046243936,Grow,3.65673291790634+0i,0.5,2,3.65673291790634,0.05294,37.7345868478169,0.01997,0.01997,0,0.01997,0.05294
4,3,0.764899046243936,Grow,3.86856338650397+0i,0.75,3,3.86856338650397,0.05294,46.8735608514075,0.02481,0.02481,0,0.02481,0.05294
4,3,0.764899046243936,Grow,4.22446904270442+0i,0.95,4,4.22446904270442,0.05294,67.3382092432831,0.03565,0.03565,0,0.03565,0.05294
4,3,0.173496581058925,Heavy,2.76247762118809+0i,0.25,1,2.76247762118809,-9.98784,14.839037508504,-1.48209,-1.48209,0,-11.29209,-19.79784
4,3,0.173496581058925,Heavy,2.87833462021269+0i,0.5,2,2.87833462021269,-9.98784,16.784630339278,-1.67642,-1.67642,0,-11.48642,-19.79784
4,3,0.173496581058925,Heavy,3.01268472090378+0i,0.75,3,3.01268472090378,-9.98784,19.3419391103902,-1.93184,-1.93184,0,-11.74184,-19.79784
4,3,0.173496581058925,Heavy,3.16293081269923+0.310461545835395i,0.95,4,3.16293081269923,-9.98784,22.6397782616538,-2.26122,-2.26122,0,-12.07122,-19.79784
4,3,0.546282498483556,Light,3.40274123213738+0i,0.25,1,3.40274123213738,4.1616,29.0463512847768,1.20879,1.20879,0,-8.60121,-5.6484
4,3,0.546282498483556,Light,3.67250281777217+0i,0.5,2,3.67250281777217,4.1616,38.3502692693809,1.59598,1.59598,0,-8.21402,-5.6484
4,3,0.546282498483556,Light,3.94224473405404+0i,0.75,3,3.94224473405404,4.1616,50.5341520276834,2.10302,2.10302,0,-7.70698,-5.6484
4,3,0.546282498483556,Light,4.39543757689986+0i,0.95,4,4.39543757689986,4.1616,80.0801017810901,3.33261,3.33261,0,-6.47739,-5.6484
4,3,0.900699663994341,Ripple,3.74983568959054+0i,0.25,1,3.74983568959054,0.03591,41.5140959176274,0.0149,0.0149,0,0.0149,0.03591
4,3,0.900699663994341,Ripple,3.89499446907575+0i,0.5,2,3.89499446907575,0.03591,48.1557814850282,0.01729,0.01729,0,0.01729,0.03591
4,3,0.900699663994341,Ripple,4.04015276960279+0i,0.75,3,4.04015276960279,0.03591,55.8350248064435,0.02005,0.02005,0,0.02005,0.03591
4,3,0.900699663994341,Ripple,4.28403930619302+0i,0.95,4,4.28403930619302,0.03591,71.5328313956517,0.02568,0.02568,0,0.02568,0.03591
4,3,0.898332482208031,Saturated,2.95108520330318+0i,0.25,1,2.95108520330318,21.97,18.1266988266167,3.98243,3.98243,0,3.98243,21.97
4,3,0.898332482208031,Saturated,3.18327450576276+0i,0.5,2,3.18327450576276,21.97,23.1256238452881,5.08069,5.08069,0,5.08069,21.97
4,3,0.898332482208031,Saturated,3.41546384761468+0i,0.75,3,3.41546384761468,21.97,29.4310615296824,6.466,6.466,0,6.466,21.97
4,3,0.898332482208031,Saturated,3.80557572209817+0i,0.95,4,3.80557572209817,21.97,43.9511220190687,9.65606,9.65606,0,9.65606,21.97
4,3,0.929869491082046,Shrink,4.16941121149501+0i,0.25,1,4.16941121149501,-0.15434,63.6773596084202,-0.09828,-0.09828,0,-0.09828,-0.15434
4,3,0.929869491082046,Shrink,4.2937593773362+0i,0.5,2,4.2937593773362,-0.15434,72.2412932489069,-0.1115,-0.1115,0,-0.1115,-0.15434
4,3,0.929869491082046,Shrink,4.41810813910491+0i,0.75,3,4.41810813910491,-0.15434,81.9392273583357,-0.12647,-0.12647,0,-0.12647,-0.15434
4,3,0.929869491082046,Shrink,4.62703785501032+0i,0.95,4,4.62703785501032,-0.15434,101.210851890103,-0.15621,-0.15434,1,-0.15434,-0.15434
4,3,0.972443752374495,Unsaturated,3.78937656955702+0i,0.25,1,3.78937656955702,-14.2805,43.228818087436,-6.17329,-6.17329,0,-6.17329,-14.2805
4,3,0.972443752374495,Unsaturated,3.97649265242483+0i,0.5,2,3.97649265242483,-14.2805,52.3296601723137,-7.47293,-7.47293,0,-7.47293,-14.2805
4,3,0.972443752374495,Unsaturated,4.16360720274446+0i,0.75,3,4.16360720274446,-14.2805,63.3030589202651,-9.03999,-9.03999,0,-9.03999,-14.2805
4,3,0.972443752374495,Unsaturated,4.47798560653563+0i,0.95,4,4.47798560653563,-14.2805,87.0571122260292,-12.43219,-12.43219,0,-12.43219,-14.2805
