X.Index,TrialNumber,BlockNumber,QuestionResult,TimeOfHit,StairCaseValue,PositiveAnswersCount,NegativeAnswersCount,ConvertedValue,ConsequtiveCounter,SessionID,TimeStampStartQuestion,TimestampEndQuestion,ResponseTime,QuestionID,Phase,ProbabilityComment,InitialDirection,TimesatmpInitialDirection,Attempt
0,0,1,0,QuestionRow,,,,,,20231213-110113,110124954,110126273,1.319609,9992,,"",0,,1
1,0,38029,NoAnswerInTime,QuestionRow,,,,,,20231213-111809,111821157,111831160,-1,88,,"",0,,1
1,0,38029,1,QuestionRow,,,,,,20231213-111809,111839307,111843775,4.46809,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.4500000000   Staircase is 0.6428571000  ,0,,1
1,0,38029,0,QuestionRow,,,,,,20231213-111809,111852376,111854106,1.730639,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6428571000   Staircase is 0.4500000000  ,0,,1
2,0,38027,0,QuestionRow,,,,,,20231213-111809,111902707,111904828,2.120539,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3500000000   Staircase is 0.2450000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111913449,111914900,1.450762,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2500000000   Staircase is 0.1750000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111923557,111924715,1.158187,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1750000000   Staircase is 0.1225000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111933351,111934519,1.167618,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1225000000   Staircase is 0.0857500000  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,111943140,111945739,2.599013,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0857500000   Staircase is 0.1225000000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,111954330,111955495,1.164902,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1225000000   Staircase is 0.0857500000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112004157,112005354,1.197469,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0857500000   Staircase is 0.0600250000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112013947,112015028,1.080531,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600250000   Staircase is 0.0420175000  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112023664,112024790,1.125989,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420175000   Staircase is 0.0294122500  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112033431,112035005,1.573972,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0294122500   Staircase is 0.0205885700  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112043619,112045010,1.391226,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0205885700   Staircase is 0.0294122400  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112053609,112054926,1.317451,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0294122400   Staircase is 0.0420174900  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112103512,112104585,1.072268,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420174900   Staircase is 0.0600249900  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112113243,112114263,1.019947,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600249900   Staircase is 0.0857499900  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112122912,112124295,1.383071,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0857499900   Staircase is 0.0600249900  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112132946,112134341,1.395373,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600249900   Staircase is 0.0420174900  ,0,,1
3,1,3802,1,QuestionRow,,,,,,20231213-111809,112142989,112144801,1.812502,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0420174900   Staircase is 0.0600249900  ,0,,1
3,1,3802,0,QuestionRow,,,,,,20231213-111809,112153460,112154543,1.083223,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0600249900   Staircase is 0.0420174900  ,0,,1
4,0,99,NoAnswerInTime,QuestionRow,,,,,,20231213-111809,112155374,112200389,-1,50,,"",0,,1
5,0,121029,0,QuestionRow,,,,,,20231213-111809,112208555,112210283,1.728556,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.6400000000   Staircase is -0.5120000000  ,0,,1
5,0,121029,0,QuestionRow,,,,,,20231213-111809,112218950,112221106,2.15564,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.5120000000   Staircase is -0.4096000000  ,0,,1
6,0,121027,0,QuestionRow,,,,,,20231213-111809,112229764,112230870,1.106503,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.6000000000   Staircase is -0.4800000000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112239464,112240981,1.516305,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.5600000000   Staircase is -0.4480000000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112249624,112250700,1.075703,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.4480000000   Staircase is -0.3584000000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112259264,112300431,1.166815,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.3584000000   Staircase is -0.2867200000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112309015,112310423,1.407983,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2867200000   Staircase is -0.2293760000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112318981,112320038,1.057134,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2293760000   Staircase is -0.1835008000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112328618,112329731,1.112619,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1835008000   Staircase is -0.1468006000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112338332,112339933,1.601258,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1468006000   Staircase is -0.1174405000  ,0,,1
7,2,1210202,1,QuestionRow,,,,,,20231213-111809,112348551,112349661,1.110803,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.1174405000   Staircase is -0.1468006000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112358287,112359387,1.099876,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1468006000   Staircase is -0.1174405000  ,0,,1
7,2,1210202,1,QuestionRow,,,,,,20231213-111809,112407965,112409722,1.756663,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.1174405000   Staircase is -0.1468006000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112418342,112419564,1.222117,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1468006000   Staircase is -0.1174405000  ,0,,1
7,2,1210202,0,QuestionRow,,,,,,20231213-111809,112428171,112429513,1.341725,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1174405000   Staircase is -0.0939524000  ,0,,1
7,2,1210202,1,QuestionRow,,,,,,20231213-111809,112438125,112440675,2.549403,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0939524000   Staircase is -0.1174405000  ,0,,1
8,0,99,NoAnswerInTime,QuestionRow,,,,,,20231213-111809,112441486,112446489,-1,50,,"",0,,1
9,0,122029,0,QuestionRow,,,,,,20231213-111809,112454693,112456319,1.62547,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.7000000000   Staircase is 0.5600000000  ,0,,1
9,0,122029,0,QuestionRow,,,,,,20231213-111809,112504964,112506025,1.060909,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.5600000000   Staircase is 0.4480000000  ,0,,1
10,0,122027,0,QuestionRow,,,,,,20231213-111809,112514695,112516698,2.002573,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.6000000000   Staircase is 0.4800000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112525310,112530246,4.936131,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.4000000000   Staircase is 0.3200000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112538816,112540697,1.881134,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3200000000   Staircase is 0.2560000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112549341,112550984,1.643192,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2560000000   Staircase is 0.2048000000  ,0,,1
11,3,1220202,1,QuestionRow,,,,,,20231213-111809,112559571,112600699,1.127811,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.2048000000   Staircase is 0.2560000000  ,0,,1
11,3,1220202,1,QuestionRow,,,,,,20231213-111809,112609325,112611239,1.913229,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.2560000000   Staircase is 0.3200000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112619879,112620942,1.063619,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3200000000   Staircase is 0.2560000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112629565,112630642,1.07605,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2560000000   Staircase is 0.2048000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112639285,112640246,0.9617353,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2048000000   Staircase is 0.1638400000  ,0,,1
11,3,1220202,1,QuestionRow,,,,,,20231213-111809,112648838,112650826,1.988172,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.1638400000   Staircase is 0.2048000000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112659429,112700418,0.9898476,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2048000000   Staircase is 0.1638400000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112709032,112710000,0.967557,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1638400000   Staircase is 0.1310720000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112718621,112719553,0.9321023,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1310720000   Staircase is 0.1048576000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112728182,112729915,1.732848,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1048576000   Staircase is 0.0838860800  ,0,,1
11,3,1220202,1,QuestionRow,,,,,,20231213-111809,112738525,112740225,1.699262,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0838860800   Staircase is 0.1048576000  ,0,,1
11,3,1220202,0,QuestionRow,,,,,,20231213-111809,112748834,112749939,1.104259,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1048576000   Staircase is 0.0838860800  ,0,,1
1,0,301029,0,QuestionRow,,,,,,20231213-110113,110134872,110142930,8.058018,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -52.8000000000   Staircase is -42.2400000000  ,0,,1
1,0,301029,0,QuestionRow,,,,,,20231213-110113,110151528,110156416,4.887182,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -42.2400000000   Staircase is -33.7920000000  ,0,,1
2,0,301027,0,QuestionRow,,,,,,20231213-110113,110205012,110207177,2.164824,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -33.8700000000   Staircase is -27.0960000000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110215766,110217812,2.046316,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -25.9700000000   Staircase is -20.7760000000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110226403,110228032,1.629166,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -20.7760000000   Staircase is -16.6208000000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110236649,110238155,1.505485,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -16.6208000000   Staircase is -13.2966400000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110246739,110252704,5.965012,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -13.2966400000   Staircase is -10.6373100000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110301310,110304097,2.787093,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -10.6373100000   Staircase is -8.5098490000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110312696,110314148,1.451418,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -8.5098490000   Staircase is -6.8078790000  ,0,,1
3,4,3010202,1,QuestionRow,,,,,,20231213-110113,110322785,110324592,1.80671,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.8078790000   Staircase is -8.5098490000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110333219,110335828,2.608889,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -8.5098490000   Staircase is -6.8078790000  ,0,,1
3,4,3010202,1,QuestionRow,,,,,,20231213-110113,110344437,110346724,2.287019,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -6.8078790000   Staircase is -8.5098490000  ,0,,1
3,4,3010202,1,QuestionRow,,,,,,20231213-110113,110355359,110356806,1.446425,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -8.5098490000   Staircase is -10.6373100000  ,0,,1
3,4,3010202,1,QuestionRow,,,,,,20231213-110113,110405423,110407017,1.594264,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -10.6373100000   Staircase is -13.2966400000  ,0,,1
3,4,3010202,0,QuestionRow,,,,,,20231213-110113,110415643,110417495,1.851716,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -13.2966400000   Staircase is -10.6373100000  ,0,,1
3,4,3010202,1,QuestionRow,,,,,,20231213-110113,110426154,110427548,1.394748,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -10.6373100000   Staircase is -13.2966400000  ,0,,1
4,0,99,NoAnswerInTime,QuestionRow,,,,,,20231213-110113,110428358,110433375,-1,50,,"",0,,1
5,0,302029,0,QuestionRow,,,,,,20231213-110113,110441569,110443494,1.924881,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 52.8000000000   Staircase is 42.2400000000  ,0,,1
5,0,302029,0,QuestionRow,,,,,,20231213-110113,110452127,110453791,1.663939,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 42.2400000000   Staircase is 33.7920000000  ,0,,1
6,0,302027,0.5,QuestionRow,,,,,,20231213-110113,110502425,110503725,1.299911,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 33.8700000000   Staircase is 27.0960000000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110512311,110513938,1.626788,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 25.9700000000   Staircase is 20.7760000000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110522593,110524013,1.420892,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 20.7760000000   Staircase is 16.6208000000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110532592,110534498,1.90618,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 16.6208000000   Staircase is 13.2966400000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110543158,110544688,1.529742,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 13.2966400000   Staircase is 10.6373100000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110553271,110555069,1.798482,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 10.6373100000   Staircase is 8.5098490000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110603648,110605142,1.494382,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 8.5098490000   Staircase is 6.8078790000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110613717,110615962,2.244646,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 6.8078790000   Staircase is 5.4463030000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110624532,110625734,1.202413,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 5.4463030000   Staircase is 4.3570420000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110634314,110635464,1.150119,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.3570420000   Staircase is 3.4856340000  ,0,,1
7,5,3020202,1,QuestionRow,,,,,,20231213-110113,110644075,110646024,1.948932,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 3.4856340000   Staircase is 4.3570420000  ,0,,1
7,5,3020202,1,QuestionRow,,,,,,20231213-110113,110654664,110656024,1.359586,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 4.3570420000   Staircase is 5.4463020000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110704646,110705896,1.249494,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 5.4463020000   Staircase is 4.3570420000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110714470,110715677,1.206609,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 4.3570420000   Staircase is 3.4856340000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110724290,110725538,1.247701,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 3.4856340000   Staircase is 2.7885070000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110734160,110735541,1.380459,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.7885070000   Staircase is 2.2308060000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110744163,110745340,1.176885,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 2.2308060000   Staircase is 1.7846450000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110753910,110754964,1.053193,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 1.7846450000   Staircase is 1.4277160000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110803593,110805150,1.557298,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 1.4277160000   Staircase is 1.1421730000  ,0,,1
7,5,3020202,1,QuestionRow,,,,,,20231213-110113,110813731,110814999,1.267456,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 1.1421730000   Staircase is 1.4277160000  ,0,,1
7,5,3020202,1,QuestionRow,,,,,,20231213-110113,110823612,110825502,1.889948,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 1.4277160000   Staircase is 1.7846450000  ,0,,1
7,5,3020202,0,QuestionRow,,,,,,20231213-110113,110834123,110835408,1.284544,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 1.7846450000   Staircase is 1.4277160000  ,0,,1
7,5,3020202,1,QuestionRow,,,,,,20231213-110113,110844028,110845150,1.121782,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 1.4277160000   Staircase is 1.7846450000  ,0,,1
8,0,99,NoAnswerInTime,QuestionRow,,,,,,20231213-110113,110845958,110850972,-1,50,,"",0,,1
9,0,601029,0,QuestionRow,,,,,,20231213-110113,110859164,110900325,1.160194,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.3000000000   Staircase is -0.2100000000  ,0,,1
9,0,601029,0,QuestionRow,,,,,,20231213-110113,110908940,110911074,2.13396,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2100000000   Staircase is -0.1470000000  ,0,,1
10,0,601027,0,QuestionRow,,,,,,20231213-110113,110919692,110921131,1.438949,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.2000000000   Staircase is -0.1400000000  ,0,,1
11,6,6010202,0,QuestionRow,,,,,,20231213-110113,110929754,110931028,1.274086,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1500000000   Staircase is -0.1050000000  ,0,,1
11,6,6010202,0,QuestionRow,,,,,,20231213-110113,110939651,110941649,1.99753,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.1050000000   Staircase is -0.0735000000  ,0,,1
11,6,6010202,0,QuestionRow,,,,,,20231213-110113,110950258,110952169,1.911483,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0735000000   Staircase is -0.0514500000  ,0,,1
11,6,6010202,0,QuestionRow,,,,,,20231213-110113,111000823,111002310,1.487337,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0514500000   Staircase is -0.0360150000  ,0,,1
11,6,6010202,1,QuestionRow,,,,,,20231213-110113,111010947,111012157,1.20977,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0360150000   Staircase is -0.0514500000  ,0,,1
11,6,6010202,1,QuestionRow,,,,,,20231213-110113,111020820,111022106,1.285765,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0514500000   Staircase is -0.0735000000  ,0,,1
11,6,6010202,0,QuestionRow,,,,,,20231213-110113,111030708,111032890,2.1821,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0735000000   Staircase is -0.0514500000  ,0,,1
11,6,6010202,1,QuestionRow,,,,,,20231213-110113,111041505,111042643,1.138409,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0514500000   Staircase is -0.0735000000  ,0,,1
11,6,6010202,0,QuestionRow,,,,,,20231213-110113,111051286,111052820,1.534389,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was -0.0735000000   Staircase is -0.0514500000  ,0,,1
11,6,6010202,1,QuestionRow,,,,,,20231213-110113,111101467,111103098,1.631033,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was -0.0514500000   Staircase is -0.0735000000  ,0,,1
12,0,99,NoAnswerInTime,QuestionRow,,,,,,20231213-110113,111103930,111108934,-1,50,,"",0,,1
13,0,602029,0,QuestionRow,,,,,,20231213-110113,111117079,111118317,1.238042,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.3000000000   Staircase is 0.2100000000  ,0,,1
13,0,602029,0,QuestionRow,,,,,,20231213-110113,111126916,111128072,1.155199,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2100000000   Staircase is 0.1470000000  ,0,,1
14,0,602027,0,QuestionRow,,,,,,20231213-110113,111136694,111138408,1.714527,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.2000000000   Staircase is 0.1400000000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111147036,111148133,1.096795,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1500000000   Staircase is 0.1050000000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111156792,111157888,1.096458,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1050000000   Staircase is 0.0735000000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111206498,111208036,1.537736,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0735000000   Staircase is 0.0514500000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111216629,111218527,1.897361,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0514500000   Staircase is 0.0360150000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111227159,111228333,1.173368,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0360150000   Staircase is 0.0252105000  ,0,,1
15,7,6020202,1,QuestionRow,,,,,,20231213-110113,111236909,111238273,1.363696,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0252105000   Staircase is 0.0360150000  ,0,,1
15,7,6020202,1,QuestionRow,,,,,,20231213-110113,111246836,111248924,2.087734,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0360150000   Staircase is 0.0514500000  ,0,,1
15,7,6020202,1,QuestionRow,,,,,,20231213-110113,111257561,111300193,2.631943,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0514500000   Staircase is 0.0735000000  ,0,,1
15,7,6020202,1,QuestionRow,,,,,,20231213-110113,111308878,111312157,3.278425,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0735000000   Staircase is 0.1050000000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111320748,111323255,2.507004,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.1050000000   Staircase is 0.0735000000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111331865,111333251,1.385488,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0735000000   Staircase is 0.0514500000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111341873,111343640,1.766281,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0514500000   Staircase is 0.0360150000  ,0,,1
15,7,6020202,1,QuestionRow,,,,,,20231213-110113,111352308,111354203,1.894975,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0360150000   Staircase is 0.0514500000  ,0,,1
15,7,6020202,0,QuestionRow,,,,,,20231213-110113,111402834,111404893,2.058326,88,, Negative Answer not inhibted counter is 1 from 1 reset Staircase was 0.0514500000   Staircase is 0.0360150000  ,0,,1
15,7,6020202,1,QuestionRow,,,,,,20231213-110113,111413563,111414734,1.170412,88,, Positive Answer not inhibted counter is 1 from 1 reset Staircase was 0.0360150000   Staircase is 0.0514500000  ,0,,1
